t.m;t.s;t.ms;kinect_foot_right.x;kinect_foot_right.y;kinect_foot_right.z;kinect_foot_left.x;kinect_foot_left.y;kinect_foot_left.z;kinect_hand_right.x;kinect_hand_right.y;kinect_hand_right.z;kinect_hand_left.x;kinect_hand_left.y;kinect_hand_left.z;imu_acceleration.x;imu_acceleration.y;imu_acceleration.z;imu_orientation.x;imu_orientation.y;imu_orientation.z;imu_orientation.w
0;27;630;0,1574275;-0,275007;0,9948071;-0,003302799;-0,8177295;0,8185351;0,4140364;-0,1497103;0,8826841;0,08512916;-0,1441523;0,8286399;511;-412;19220;0,470337;0,407532;-0,291321;0,72644
0;27;646;0;0;0;0;0;0;0;0;0;0;0;0;511;-412;19220;0,470337;0,407532;-0,291321;0,72644
0;27;651;0;0;0;0;0;0;0;0;0;0;0;0;511;-412;19220;0,470337;0,407532;-0,291321;0,72644
0;27;657;0,1610512;-0,2835549;0,9932515;-0,00338703;-0,8175579;0,8192278;0,4140914;-0,1498007;0,8826507;0,085099;-0,1440609;0,8286667;511;-412;19220;0,470337;0,407532;-0,291321;0,72644
0;27;661;0;0;0;0;0;0;0;0;0;0;0;0;239;-192;18969;0,470825;0,408142;-0,291504;0,725708
0;27;666;0;0;0;0;0;0;0;0;0;0;0;0;239;-192;18969;0,470825;0,408142;-0,291504;0,725708
0;27;670;0;0;0;0;0;0;0;0;0;0;0;0;185;-150;18919;0,470703;0,409546;-0,291321;0,725098
0;27;674;0;0;0;0;0;0;0;0;0;0;0;0;185;-150;18919;0,470703;0,409546;-0,291321;0,725098
0;27;679;0;0;0;0;0;0;0;0;0;0;0;0;185;-150;18919;0,470703;0,409546;-0,291321;0,725098
0;27;683;0;0;0;0;0;0;0;0;0;0;0;0;185;-150;18919;0,470703;0,409546;-0,291321;0,725098
0;27;689;0;0;0;0;0;0;0;0;0;0;0;0;185;-150;18919;0,470703;0,409546;-0,291321;0,725098
0;27;694;0,1467201;-0,29614;0,9706042;-0,003579898;-0,8176567;0,8206882;0,4141364;-0,1498663;0,882628;0,08505411;-0,1439702;0,8286906;185;-150;18919;0,470703;0,409546;-0,291321;0,725098
0;27;698;0;0;0;0;0;0;0;0;0;0;0;0;334;-333;19005;0,469971;0,41156;-0,291077;0,724487
0;27;703;0;0;0;0;0;0;0;0;0;0;0;0;334;-333;19005;0,469971;0,41156;-0,291077;0,724487
0;27;708;0;0;0;0;0;0;0;0;0;0;0;0;334;-333;19005;0,469971;0,41156;-0,291077;0,724487
0;27;713;0;0;0;0;0;0;0;0;0;0;0;0;334;-333;19005;0,469971;0,41156;-0,291077;0,724487
0;27;718;0;0;0;0;0;0;0;0;0;0;0;0;334;-333;19005;0,469971;0,41156;-0,291077;0,724487
0;27;723;0,1359777;-0,3049831;0,9539307;-0,003983421;-0,8178347;0,8228323;0,4141749;-0,1499117;0,8826136;0,08500879;-0,1438813;0,8287126;547;-577;19157;0,470093;0,411255;-0,291321;0,724548
0;27;728;0;0;0;0;0;0;0;0;0;0;0;0;547;-577;19157;0,470093;0,411255;-0,291321;0,724548
0;27;733;0;0;0;0;0;0;0;0;0;0;0;0;547;-577;19157;0,470093;0,411255;-0,291321;0,724548
0;27;738;0;0;0;0;0;0;0;0;0;0;0;0;547;-577;19157;0,470093;0,411255;-0,291321;0,724548
0;27;742;0;0;0;0;0;0;0;0;0;0;0;0;547;-577;19157;0,470093;0,411255;-0,291321;0,724548
0;27;747;0;0;0;0;0;0;0;0;0;0;0;0;618;-551;19220;0,470398;0,410339;-0,291504;0,724793
0;27;754;0;0;0;0;0;0;0;0;0;0;0;0;618;-551;19220;0,470398;0,410339;-0,291504;0,724793
0;27;758;0,1294691;-0,3100898;0,944012;-0,004358194;-0,8179284;0,824176;0,4142088;-0,149941;0,8826061;0,08494549;-0,1437903;0,8287332;618;-551;19220;0,470398;0,410339;-0,291504;0,724793
0;27;763;0;0;0;0;0;0;0;0;0;0;0;0;618;-551;19220;0,470398;0,410339;-0,291504;0,724793
0;27;768;0;0;0;0;0;0;0;0;0;0;0;0;618;-551;19220;0,470398;0,410339;-0,291504;0,724793
0;27;772;0;0;0;0;0;0;0;0;0;0;0;0;569;-502;19222;0,470642;0,409302;-0,291138;0,725342
0;27;777;0;0;0;0;0;0;0;0;0;0;0;0;569;-502;19222;0,470642;0,409302;-0,291138;0,725342
0;27;781;0;0;0;0;0;0;0;0;0;0;0;0;569;-502;19222;0,470642;0,409302;-0,291138;0,725342
0;27;787;0;0;0;0;0;0;0;0;0;0;0;0;569;-502;19222;0,470642;0,409302;-0,291138;0,725342
0;27;792;0,1288988;-0,3136097;0,9356838;-0,00475934;-0,8176471;0,8245541;0,4142401;-0,149956;0,8826047;0,08487903;-0,143702;0,8287516;569;-502;19222;0,470642;0,409302;-0,291138;0,725342
0;27;797;0;0;0;0;0;0;0;0;0;0;0;0;505;-543;19208;0,470886;0,408508;-0,290955;0,725708
0;27;802;0;0;0;0;0;0;0;0;0;0;0;0;505;-543;19208;0,470886;0,408508;-0,290955;0,725708
0;27;806;0;0;0;0;0;0;0;0;0;0;0;0;505;-543;19208;0,470886;0,408508;-0,290955;0,725708
0;27;811;0;0;0;0;0;0;0;0;0;0;0;0;505;-543;19208;0,470886;0,408508;-0,290955;0,725708
0;27;816;0;0;0;0;0;0;0;0;0;0;0;0;505;-543;19208;0,470886;0,408508;-0,290955;0,725708
0;27;821;0;0;0;0;0;0;0;0;0;0;0;0;505;-543;19208;0,470886;0,408508;-0,290955;0,725708
0;27;826;0,1289162;-0,3158787;0,930086;-0,005293479;-0,8173889;0,8247589;0,4142708;-0,149957;0,8826092;0,08486789;-0,1436602;0,8287625;438;-526;19202;0,471619;0,406982;-0,291077;0,726013
0;27;831;0;0;0;0;0;0;0;0;0;0;0;0;438;-526;19202;0,471619;0,406982;-0,291077;0,726013
0;27;835;0;0;0;0;0;0;0;0;0;0;0;0;438;-526;19202;0,471619;0,406982;-0,291077;0,726013
0;27;839;0;0;0;0;0;0;0;0;0;0;0;0;438;-526;19202;0,471619;0,406982;-0,291077;0,726013
0;27;845;0;0;0;0;0;0;0;0;0;0;0;0;438;-526;19202;0,471619;0,406982;-0,291077;0,726013
0;27;850;0;0;0;0;0;0;0;0;0;0;0;0;390;-522;19202;0,472412;0,405701;-0,291199;0,726196
0;27;855;0,1341064;-0,3238062;0,913184;-0,006343676;-0,8172162;0,8246397;0,4143026;-0,149939;0,8826216;0,08493239;-0,1436494;0,8287795;390;-522;19202;0,472412;0,405701;-0,291199;0,726196
0;27;861;0;0;0;0;0;0;0;0;0;0;0;0;390;-522;19202;0,472412;0,405701;-0,291199;0,726196
0;27;866;0;0;0;0;0;0;0;0;0;0;0;0;390;-522;19202;0,472412;0,405701;-0,291199;0,726196
0;27;870;0;0;0;0;0;0;0;0;0;0;0;0;390;-522;19202;0,472412;0,405701;-0,291199;0,726196
0;27;874;0;0;0;0;0;0;0;0;0;0;0;0;369;-506;19232;0,47345;0,404053;-0,290588;0,726624
0;27;879;0;0;0;0;0;0;0;0;0;0;0;0;369;-506;19232;0,47345;0,404053;-0,290588;0,726624
0;27;883;0;0;0;0;0;0;0;0;0;0;0;0;369;-506;19232;0,47345;0,404053;-0,290588;0,726624
0;27;889;0,122257;-0,3562945;0,8671124;-0,007377294;-0,8169186;0,8243102;0,4143369;-0,1498949;0,8826472;0,08502732;-0,1436597;0,8288003;369;-506;19232;0,47345;0,404053;-0,290588;0,726624
0;27;894;0;0;0;0;0;0;0;0;0;0;0;0;369;-506;19232;0,47345;0,404053;-0,290588;0,726624
0;27;898;0;0;0;0;0;0;0;0;0;0;0;0;337;-454;19251;0,47406;0,403137;-0,289429;0,727295
0;27;904;0;0;0;0;0;0;0;0;0;0;0;0;337;-454;19251;0,47406;0,403137;-0,289429;0,727295
0;27;909;0;0;0;0;0;0;0;0;0;0;0;0;337;-454;19251;0,47406;0,403137;-0,289429;0,727295
0;27;913;0;0;0;0;0;0;0;0;0;0;0;0;337;-454;19251;0,47406;0,403137;-0,289429;0,727295
0;27;918;0;0;0;0;0;0;0;0;0;0;0;0;337;-454;19251;0,47406;0,403137;-0,289429;0,727295
0;27;924;0,1167549;-0,3703808;0,8474532;-0,008083289;-0,8168258;0,8243217;0,4143879;-0,1497858;0,8826994;0,08516034;-0,1437128;0,8288208;386;-487;19370;0,473877;0,401611;-0,285767;0,729675
0;27;929;0;0;0;0;0;0;0;0;0;0;0;0;386;-487;19370;0,473877;0,401611;-0,285767;0,729675
0;27;933;0;0;0;0;0;0;0;0;0;0;0;0;386;-487;19370;0,473877;0,401611;-0,285767;0,729675
0;27;938;0;0;0;0;0;0;0;0;0;0;0;0;386;-487;19370;0,473877;0,401611;-0,285767;0,729675
0;27;942;0;0;0;0;0;0;0;0;0;0;0;0;386;-487;19370;0,473877;0,401611;-0,285767;0,729675
0;27;947;0;0;0;0;0;0;0;0;0;0;0;0;274;-592;19379;0,472839;0,400574;-0,282593;0,732178
0;27;953;0;0;0;0;0;0;0;0;0;0;0;0;274;-592;19379;0,472839;0,400574;-0,282593;0,732178
0;27;958;0,1343267;-0,7373194;0,6878935;0,05930934;-0,8133693;0,9315158;0,4144789;-0,1495845;0,882769;0,08512892;-0,1427543;0,8288095;274;-592;19379;0,472839;0,400574;-0,282593;0,732178
0;27;962;0;0;0;0;0;0;0;0;0;0;0;0;274;-592;19379;0,472839;0,400574;-0,282593;0,732178
0;27;967;0;0;0;0;0;0;0;0;0;0;0;0;274;-592;19379;0,472839;0,400574;-0,282593;0,732178
0;27;972;0;0;0;0;0;0;0;0;0;0;0;0;274;-592;19379;0,472839;0,400574;-0,282593;0,732178
0;27;976;0;0;0;0;0;0;0;0;0;0;0;0;276;-572;19548;0,471985;0,397156;-0,276855;0,736755
0;27;981;0;0;0;0;0;0;0;0;0;0;0;0;276;-572;19548;0,471985;0,397156;-0,276855;0,736755
0;27;986;0;0;0;0;0;0;0;0;0;0;0;0;276;-572;19548;0,471985;0,397156;-0,276855;0,736755
0;27;991;0,1362716;-0,842292;0,6390886;0,1479195;-0,8084413;0,9468024;0,4146238;-0,1492161;0,8828921;0,08410624;-0,142167;0,8290363;276;-572;19548;0,471985;0,397156;-0,276855;0,736755
0;27;997;0;0;0;0;0;0;0;0;0;0;0;0;213;-608;19653;0,470947;0,39447;-0,27179;0,740723
0;28;2;0;0;0;0;0;0;0;0;0;0;0;0;213;-608;19653;0,470947;0,39447;-0,27179;0,740723
0;28;6;0;0;0;0;0;0;0;0;0;0;0;0;213;-608;19653;0,470947;0,39447;-0,27179;0,740723
0;28;11;0;0;0;0;0;0;0;0;0;0;0;0;213;-608;19653;0,470947;0,39447;-0,27179;0,740723
0;28;17;0;0;0;0;0;0;0;0;0;0;0;0;213;-608;19653;0,470947;0,39447;-0,27179;0,740723
0;28;23;0,112369;-0,9080643;0,6927413;0,2270752;-0,8126261;0,9209832;0,4150403;-0,1481741;0,8831901;0,08264755;-0,141612;0,8295136;213;-608;19653;0,470947;0,39447;-0,27179;0,740723
0;28;29;0;0;0;0;0;0;0;0;0;0;0;0;-136;-673;19619;0,467896;0,390625;-0,262634;0,747986
0;28;33;0;0;0;0;0;0;0;0;0;0;0;0;-136;-673;19619;0,467896;0,390625;-0,262634;0,747986
0;28;38;0;0;0;0;0;0;0;0;0;0;0;0;-136;-673;19619;0,467896;0,390625;-0,262634;0,747986
0;28;42;0;0;0;0;0;0;0;0;0;0;0;0;-136;-673;19619;0,467896;0,390625;-0,262634;0,747986
0;28;47;0;0;0;0;0;0;0;0;0;0;0;0;-136;-673;19619;0,467896;0,390625;-0,262634;0,747986
0;28;53;0;0;0;0;0;0;0;0;0;0;0;0;-249;-602;19613;0,465515;0,387634;-0,255554;0,753418
0;28;57;0,3174341;-0,8694605;0,7300775;0,2587551;-0,8142633;0,9094248;0,4155875;-0,1412269;0,8860313;0,07907952;-0,1433274;0,8324314;-249;-602;19613;0,465515;0,387634;-0,255554;0,753418
0;28;62;0;0;0;0;0;0;0;0;0;0;0;0;-249;-602;19613;0,465515;0,387634;-0,255554;0,753418
0;28;67;0;0;0;0;0;0;0;0;0;0;0;0;-249;-602;19613;0,465515;0,387634;-0,255554;0,753418
0;28;71;0;0;0;0;0;0;0;0;0;0;0;0;-249;-602;19613;0,465515;0,387634;-0,255554;0,753418
0;28;76;0;0;0;0;0;0;0;0;0;0;0;0;-539;-480;19492;0,461426;0,382996;-0,243835;0,762146
0;28;80;0;0;0;0;0;0;0;0;0;0;0;0;-539;-480;19492;0,461426;0,382996;-0,243835;0,762146
0;28;86;0;0;0;0;0;0;0;0;0;0;0;0;-539;-480;19492;0,461426;0,382996;-0,243835;0,762146
0;28;91;0,3974425;-0,8744756;0,8058825;0,2740304;-0,8161412;0,9007363;0,4167014;-0,1360004;0,8876472;0,07464429;-0,1440625;0,8375334;-539;-480;19492;0,461426;0,382996;-0,243835;0,762146
0;28;95;0;0;0;0;0;0;0;0;0;0;0;0;-539;-480;19492;0,461426;0,382996;-0,243835;0,762146
0;28;99;0;0;0;0;0;0;0;0;0;0;0;0;-775;-347;19338;0,458252;0,380127;-0,235046;0,76825
0;28;104;0;0;0;0;0;0;0;0;0;0;0;0;-775;-347;19338;0,458252;0,380127;-0,235046;0,76825
0;28;108;0;0;0;0;0;0;0;0;0;0;0;0;-775;-347;19338;0,458252;0,380127;-0,235046;0,76825
0;28;113;0;0;0;0;0;0;0;0;0;0;0;0;-775;-347;19338;0,458252;0,380127;-0,235046;0,76825
0;28;118;0;0;0;0;0;0;0;0;0;0;0;0;-775;-347;19338;0,458252;0,380127;-0,235046;0,76825
0;28;123;0,4499009;-0,8703924;0,8453657;0,2798613;-0,8181279;0,8918473;0,4162185;-0,1169973;0,8971028;0,000811331;-0,2041356;0,8138611;-775;-347;19338;0,458252;0,380127;-0,235046;0,76825
0;28;128;0;0;0;0;0;0;0;0;0;0;0;0;-1197;-234;19082;0,452148;0,377319;-0,220093;0,777588
0;28;133;0;0;0;0;0;0;0;0;0;0;0;0;-1197;-234;19082;0,452148;0,377319;-0,220093;0,777588
0;28;138;0;0;0;0;0;0;0;0;0;0;0;0;-1197;-234;19082;0,452148;0,377319;-0,220093;0,777588
0;28;142;0;0;0;0;0;0;0;0;0;0;0;0;-1197;-234;19082;0,452148;0,377319;-0,220093;0,777588
0;28;146;0;0;0;0;0;0;0;0;0;0;0;0;-1197;-234;19082;0,452148;0,377319;-0,220093;0,777588
0;28;152;0;0;0;0;0;0;0;0;0;0;0;0;-1454;-323;18979;0,446655;0,37616;-0,209595;0,78418
0;28;157;0,4163823;-0,847458;0,8419124;0,3373717;-0,7914111;0,9601884;0,4162341;-0,1039205;0,9035414;-0,03813148;-0,2364648;0,8012567;-1454;-323;18979;0,446655;0,37616;-0,209595;0,78418
0;28;162;0;0;0;0;0;0;0;0;0;0;0;0;-1454;-323;18979;0,446655;0,37616;-0,209595;0,78418
0;28;167;0;0;0;0;0;0;0;0;0;0;0;0;-1454;-323;18979;0,446655;0,37616;-0,209595;0,78418
0;28;171;0;0;0;0;0;0;0;0;0;0;0;0;-1454;-323;18979;0,446655;0,37616;-0,209595;0,78418
0;28;175;0;0;0;0;0;0;0;0;0;0;0;0;-1762;-251;18773;0,437134;0,374756;-0,193604;0,794312
0;28;180;0;0;0;0;0;0;0;0;0;0;0;0;-1762;-251;18773;0,437134;0,374756;-0,193604;0,794312
0;28;186;0;0;0;0;0;0;0;0;0;0;0;0;-1762;-251;18773;0,437134;0,374756;-0,193604;0,794312
0;28;191;0,4022009;-0,8396455;0,8469819;0,3575451;-0,7846054;0,9894919;0,4169014;-0,09417751;0,9079555;-0,03200526;-0,1834068;0,7613161;-1762;-251;18773;0,437134;0,374756;-0,193604;0,794312
0;28;195;0;0;0;0;0;0;0;0;0;0;0;0;-1762;-251;18773;0,437134;0,374756;-0,193604;0,794312
0;28;201;0;0;0;0;0;0;0;0;0;0;0;0;-1971;-152;18698;0,431091;0,37384;-0,182983;0,800537
0;28;205;0;0;0;0;0;0;0;0;0;0;0;0;-1971;-152;18698;0,431091;0,37384;-0,182983;0,800537
0;28;209;0;0;0;0;0;0;0;0;0;0;0;0;-1971;-152;18698;0,431091;0,37384;-0,182983;0,800537
0;28;214;0;0;0;0;0;0;0;0;0;0;0;0;-1971;-152;18698;0,431091;0,37384;-0,182983;0,800537
0;28;220;0;0;0;0;0;0;0;0;0;0;0;0;-1971;-152;18698;0,431091;0,37384;-0,182983;0,800537
0;28;225;0,3682547;-0,8365946;0,8445711;0,1480291;-0,8218101;0,7200036;0,4178012;-0,0859978;0,9115894;0,06371981;-0,07658102;0,7769406;-1971;-152;18698;0,431091;0,37384;-0,182983;0,800537
0;28;230;0;0;0;0;0;0;0;0;0;0;0;0;-2201;-51;18681;0,423706;0,371948;-0,16687;0,808838
0;28;234;0;0;0;0;0;0;0;0;0;0;0;0;-2201;-51;18681;0,423706;0,371948;-0,16687;0,808838
0;28;239;0;0;0;0;0;0;0;0;0;0;0;0;-2201;-51;18681;0,423706;0,371948;-0,16687;0,808838
0;28;243;0;0;0;0;0;0;0;0;0;0;0;0;-2201;-51;18681;0,423706;0,371948;-0,16687;0,808838
0;28;248;0;0;0;0;0;0;0;0;0;0;0;0;-2201;-51;18681;0,423706;0,371948;-0,16687;0,808838
0;28;254;0,3223335;-0,8405546;0,8303276;0,1071606;-0,8252819;0,66272;0,4188716;-0,07854626;0,914551;0,1102998;-0,01923814;0,7830958;-2407;-122;18744;0,417175;0,369568;-0,150208;0,816528
0;28;259;0;0;0;0;0;0;0;0;0;0;0;0;-2407;-122;18744;0,417175;0,369568;-0,150208;0,816528
0;28;263;0;0;0;0;0;0;0;0;0;0;0;0;-2407;-122;18744;0,417175;0,369568;-0,150208;0,816528
0;28;268;0;0;0;0;0;0;0;0;0;0;0;0;-2407;-122;18744;0,417175;0,369568;-0,150208;0,816528
0;28;272;0;0;0;0;0;0;0;0;0;0;0;0;-2407;-122;18744;0,417175;0,369568;-0,150208;0,816528
0;28;277;0;0;0;0;0;0;0;0;0;0;0;0;-2623;-277;18647;0,412659;0,367737;-0,138794;0,821655
0;28;282;0;0;0;0;0;0;0;0;0;0;0;0;-2623;-277;18647;0,412659;0,367737;-0,138794;0,821655
0;28;288;0;0;0;0;0;0;0;0;0;0;0;0;-2623;-277;18647;0,412659;0,367737;-0,138794;0,821655
0;28;293;0,3053733;-0,8436141;0,8293124;0,05903151;-0,8338557;0,5979216;0,4198307;-0,0717693;0,9172709;0,05685557;0,0315331;0,8531971;-2623;-277;18647;0,412659;0,367737;-0,138794;0,821655
0;28;298;0;0;0;0;0;0;0;0;0;0;0;0;-2623;-277;18647;0,412659;0,367737;-0,138794;0,821655
0;28;302;0;0;0;0;0;0;0;0;0;0;0;0;-2623;-277;18647;0,412659;0,367737;-0,138794;0,821655
0;28;308;0;0;0;0;0;0;0;0;0;0;0;0;-2963;-516;18338;0,406738;0,365051;-0,122803;0,828369
0;28;313;0;0;0;0;0;0;0;0;0;0;0;0;-2963;-516;18338;0,406738;0,365051;-0,122803;0,828369
0;28;317;0;0;0;0;0;0;0;0;0;0;0;0;-2963;-516;18338;0,406738;0,365051;-0,122803;0,828369
0;28;330;0,2956256;-0,8467124;0,830851;0,04573257;-0,8363011;0,5780904;0,4206868;-0,06514538;0,9199482;0,0256816;0,05191951;0,8923083;-3026;-611;18263;0,403626;0,363037;-0,112427;0,832214
0;28;335;0;0;0;0;0;0;0;0;0;0;0;0;-3026;-611;18263;0,403626;0,363037;-0,112427;0,832214
0;28;339;0;0;0;0;0;0;0;0;0;0;0;0;-3026;-611;18263;0,403626;0,363037;-0,112427;0,832214
0;28;343;0;0;0;0;0;0;0;0;0;0;0;0;-3026;-611;18263;0,403626;0,363037;-0,112427;0,832214
0;28;348;0;0;0;0;0;0;0;0;0;0;0;0;-3026;-611;18263;0,403626;0,363037;-0,112427;0,832214
0;28;354;0,190127;-0,86102;0,8103817;0,04095525;-0,8350024;0,5716967;0,4213719;-0,05864877;0,9227034;0,04616431;0,06708655;0,9052812;-3026;-611;18263;0,403626;0,363037;-0,112427;0,832214
0;28;358;0;0;0;0;0;0;0;0;0;0;0;0;-3026;-611;18263;0,403626;0,363037;-0,112427;0,832214
0;28;362;0;0;0;0;0;0;0;0;0;0;0;0;-3026;-611;18263;0,403626;0,363037;-0,112427;0,832214
0;28;367;0;0;0;0;0;0;0;0;0;0;0;0;-3026;-611;18263;0,403626;0,363037;-0,112427;0,832214
0;28;372;0;0;0;0;0;0;0;0;0;0;0;0;-3026;-611;18263;0,403626;0,363037;-0,112427;0,832214
0;28;376;0;0;0;0;0;0;0;0;0;0;0;0;-3026;-611;18263;0,403626;0,363037;-0,112427;0,832214
0;28;381;0;0;0;0;0;0;0;0;0;0;0;0;-3088;-962;17970;0,395691;0,357788;-0,085938;0,84137
0;28;387;0;0;0;0;0;0;0;0;0;0;0;0;-3088;-962;17970;0,395691;0,357788;-0,085938;0,84137
0;28;392;0,1290185;-0,8672361;0,793418;0,03142301;-0,8319538;0,5633042;0,4219907;-0,05097745;0,9259329;0,0660053;0,07048365;0,906285;-3088;-962;17970;0,395691;0,357788;-0,085938;0,84137
0;28;396;0;0;0;0;0;0;0;0;0;0;0;0;-3088;-962;17970;0,395691;0,357788;-0,085938;0,84137
0;28;401;0;0;0;0;0;0;0;0;0;0;0;0;-3088;-962;17970;0,395691;0,357788;-0,085938;0,84137
0;28;405;0;0;0;0;0;0;0;0;0;0;0;0;-3185;-996;17723;0,388489;0,355652;-0,069092;0,847168
0;28;410;0;0;0;0;0;0;0;0;0;0;0;0;-3185;-996;17723;0,388489;0,355652;-0,069092;0,847168
0;28;415;0;0;0;0;0;0;0;0;0;0;0;0;-3185;-996;17723;0,388489;0,355652;-0,069092;0,847168
0;28;422;0;0;0;0;0;0;0;0;0;0;0;0;-3185;-996;17723;0,388489;0,355652;-0,069092;0,847168
0;28;427;0,07772272;-0,8688933;0,7925332;0,03689978;-0,8237079;0,5871683;0,4224384;-0,04245809;0,9293097;0,08048724;0,04398206;0,8824535;-3185;-996;17723;0,388489;0,355652;-0,069092;0,847168
0;28;432;0;0;0;0;0;0;0;0;0;0;0;0;-3253;-1048;17661;0,383057;0,354797;-0,0578;0,850891
0;28;436;0;0;0;0;0;0;0;0;0;0;0;0;-3253;-1048;17661;0,383057;0,354797;-0,0578;0,850891
0;28;441;0;0;0;0;0;0;0;0;0;0;0;0;-3253;-1048;17661;0,383057;0,354797;-0,0578;0,850891
0;28;446;0;0;0;0;0;0;0;0;0;0;0;0;-3253;-1048;17661;0,383057;0,354797;-0,0578;0,850891
0;28;451;0;0;0;0;0;0;0;0;0;0;0;0;-3253;-1048;17661;0,383057;0,354797;-0,0578;0,850891
0;28;456;0,05392381;-0,8695897;0,7916198;-0,2028406;-0,7905214;0,7150601;0,4229033;-0,03368679;0,932384;0,008159988;0,07493624;0,911992;-3313;-1085;17726;0,375183;0,352905;-0,041382;0,856079
0;28;463;0;0;0;0;0;0;0;0;0;0;0;0;-3313;-1085;17726;0,375183;0,352905;-0,041382;0,856079
0;28;467;0;0;0;0;0;0;0;0;0;0;0;0;-3313;-1085;17726;0,375183;0,352905;-0,041382;0,856079
0;28;472;0;0;0;0;0;0;0;0;0;0;0;0;-3313;-1085;17726;0,375183;0,352905;-0,041382;0,856079
0;28;477;0;0;0;0;0;0;0;0;0;0;0;0;-3313;-1085;17726;0,375183;0,352905;-0,041382;0,856079
0;28;482;0;0;0;0;0;0;0;0;0;0;0;0;-3313;-1085;17726;0,375183;0,352905;-0,041382;0,856079
0;28;487;0;0;0;0;0;0;0;0;0;0;0;0;-3461;-1038;17652;0,368347;0,350403;-0,025452;0,860718
0;28;494;0,03869098;-0,8695937;0,7918406;-0,2850924;-0,7740896;0,7502485;0,4243481;-0,02916712;0,9319274;-0,02577781;0,08766829;0,925805;-3461;-1038;17652;0,368347;0,350403;-0,025452;0,860718
0;28;499;0;0;0;0;0;0;0;0;0;0;0;0;-3461;-1038;17652;0,368347;0,350403;-0,025452;0,860718
0;28;503;0;0;0;0;0;0;0;0;0;0;0;0;-3461;-1038;17652;0,368347;0,350403;-0,025452;0,860718
0;28;508;0;0;0;0;0;0;0;0;0;0;0;0;-3550;-1142;17574;0,364014;0,348694;-0,015259;0,863464
0;28;513;0;0;0;0;0;0;0;0;0;0;0;0;-3550;-1142;17574;0,364014;0,348694;-0,015259;0,863464
0;28;518;0;0;0;0;0;0;0;0;0;0;0;0;-3550;-1142;17574;0,364014;0,348694;-0,015259;0,863464
0;28;527;0,03151411;-0,868417;0,7957728;-0,06308833;-0,8163;0,7452132;0,4262111;-0,02441095;0,9304883;-0,01259531;0,06035044;0,9077702;-3550;-1142;17574;0,364014;0,348694;-0,015259;0,863464
0;28;532;0;0;0;0;0;0;0;0;0;0;0;0;-3550;-1142;17574;0,364014;0,348694;-0,015259;0,863464
0;28;537;0;0;0;0;0;0;0;0;0;0;0;0;-3618;-1378;17558;0,358276;0,345398;-0,000916;0,86731
0;28;541;0;0;0;0;0;0;0;0;0;0;0;0;-3618;-1378;17558;0,358276;0,345398;-0,000916;0,86731
0;28;546;0;0;0;0;0;0;0;0;0;0;0;0;-3618;-1378;17558;0,358276;0,345398;-0,000916;0,86731
0;28;552;0;0;0;0;0;0;0;0;0;0;0;0;-3618;-1378;17558;0,358276;0,345398;-0,000916;0,86731
0;28;557;0,08141047;-0,8698251;0,8212414;-0,05134994;-0,8146971;0,755174;0,4259102;-0,01245961;0,9341854;-0,01075642;0,05104437;0,901485;-3618;-1378;17558;0,358276;0,345398;-0,000916;0,86731
0;28;562;0;0;0;0;0;0;0;0;0;0;0;0;-3652;-1491;17421;0,355713;0,34259;0,008179;0,869446
0;28;567;0;0;0;0;0;0;0;0;0;0;0;0;-3652;-1491;17421;0,355713;0,34259;0,008179;0,869446
0;28;572;0;0;0;0;0;0;0;0;0;0;0;0;-3652;-1491;17421;0,355713;0,34259;0,008179;0,869446
0;28;576;0;0;0;0;0;0;0;0;0;0;0;0;-3652;-1491;17421;0,355713;0,34259;0,008179;0,869446
0;28;580;0;0;0;0;0;0;0;0;0;0;0;0;-3652;-1491;17421;0,355713;0,34259;0,008179;0,869446
0;28;587;0;0;0;0;0;0;0;0;0;0;0;0;-3745;-1752;17144;0,352783;0,337585;0,021606;0,872376
0;28;592;0,106313;-0,8701887;0,8344455;-0,2371047;-0,7776181;0,7922364;0,4253854;-0,002046049;0,9364042;-0,007137666;0,04547062;0,8960011;-3745;-1752;17144;0,352783;0,337585;0,021606;0,872376
0;28;597;0;0;0;0;0;0;0;0;0;0;0;0;-3745;-1752;17144;0,352783;0,337585;0,021606;0,872376
0;28;601;0;0;0;0;0;0;0;0;0;0;0;0;-3745;-1752;17144;0,352783;0,337585;0,021606;0,872376
0;28;606;0;0;0;0;0;0;0;0;0;0;0;0;-3745;-1752;17144;0,352783;0,337585;0,021606;0,872376
0;28;610;0;0;0;0;0;0;0;0;0;0;0;0;-3872;-1848;16982;0,351196;0,333923;0,029846;0,874146
0;28;615;0;0;0;0;0;0;0;0;0;0;0;0;-3872;-1848;16982;0,351196;0,333923;0,029846;0,874146
0;28;621;0,1293064;-0,8698743;0,8415502;-0,2945471;-0,76494;0,809561;0,4245295;0,00823047;0,9374239;-0,006160803;0,0436408;0,8925726;-3872;-1848;16982;0,351196;0,333923;0,029846;0,874146
0;28;626;0;0;0;0;0;0;0;0;0;0;0;0;-3872;-1848;16982;0,351196;0,333923;0,029846;0,874146
0;28;630;0;0;0;0;0;0;0;0;0;0;0;0;-3872;-1848;16982;0,351196;0,333923;0,029846;0,874146
0;28;635;0;0;0;0;0;0;0;0;0;0;0;0;-3872;-1848;16982;0,351196;0,333923;0,029846;0,874146
